"50","630","70","606","14C","WIS-133","humified_Sphagnum_peat"
"210","1510","80","1375","14C","WIS-88","peat"
"330","1530","80","1407","14C","WIS-96","humified_Sphagnum_peat"
"350","1250","75","1176","14C","WIS-127(a)","humified_Sphagnum_peat"
"350","1280","75","1214","14C","WIS-127(b)","humified_Sphagnum_peat"
"550","2670","105","2769","14C","WIS-93","peat"
"730","3140","105","3365","14C","WIS-139","unhumified_Sphagnum_peat"
"890","3650","100","3956","14C","WIS-80","wood_of_Larix"
"1090","4800","90","5533","14C","WIS-166","Sphagnum_peat"
"1310","5570","100","6361","14C","WIS-85A","fossil_Sphagnum_peat"
"1310","5720","110","6495","14C","WIS-85B","fossil_Sphagnum_peat"
"1490","5780","110","6599","14C","WIS-67","fossil_Sphagnum_peat"
