"70","80","935","15","855","795","915","75","10","14C","NSRL-19964","Charcoal/Birch_Seeds"
"790","800","1190","20","1118","1062","1173","795","10","14C","OS-88321*","Birch_Seeds"
"1490","1500","2535","15","2626","2511","2740","1495","10","14C","NSRL-19965","Charcoal"
"2090","2100","3620","15","3929","3879","3979","2095","10","14C","NSRL-19966","Birch_Seeds_and_Spruce_Seed"
"2140","2150","4020","15","4480","4434","4525","2145","10","14C","NSRL-18167","Plant_Macrofossils"
"2640","2650","4170","20","4726","4624","4827","2645","10","14C","NSRL-18166","Wood"
"3190","3200","5200","15","5954","5918","5990","3195","10","14C","NSRL-19968","Birch_Bracts_and_Birch_Seeds"
"3590","3600","5520","40","6312","6221","6402","3595","10","14C","OS-88316*","Birch_Seeds"
"4150","4160","6970","25","7819","7716","7921","4155","10","14C","NSRL-19970","Birch_Seeds_and_Spruce_Seeds"
"4640","4650","8435","25","9476","9432","9519","4645","10","14C","NSRL-18164","Spruce_Cone"
"5320","5330","9910","25","11314","11241","11386","5325","10","14C","NSRL-18165","Wood"
"5530","5540","10015","25","11513","11330","11695","5535","10","14C","NSRL-18163","Plant_Macrofossils"
"6650","6660","10040","30","11555","11359","11750","6655","10","14C","NSRL-18160","Wood/Charcoal"
"6800","6810","10945","30","12799","12659","12938","6805","10","14C","NSRL-18161","Plant_Macrofossils"
