NA,NA,"110","TO-3694",NA,"2020","50","0",NA,NA,"14C","HU90-013-017_BC_21cm","?","CHM_et_al._(2001)"
"980","1000","990","TO-3303","32.4","4380","70","0","990","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"1780","1800","1790","TO-5032","35","6970","60","0","1790","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"1880","1900","1890","TO-3301","54.6","7210","100","0","1890","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"2080","2100","2090","TO-3304","51.8","7980","70","0","2090","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"2280","2300","2290","TO-5031","18.6","7840","60","0","2290","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"2380","2400","2390","TO-3306","50.2","8190","80","0","2390","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"3380","3400","3390","TO-3354","7.9","9230","90","0","3390","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"3580","3600","3590","TO-3353","3.6","9630","360","0","3590","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"3680","3700","3690","TO-3352","4.7","10440","120","0","3690","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"3880","3900","3890","TO-3351","38.9","10830","80","0","3890","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"3980","4000","3990","TO-3302","58.8","11120","90","0","3990","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"4180","4200","4190","TO-3350","22.3","12390","90","0","4190","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"4280","4300","4290","TO-3349","8.5","12850","120","0","4290","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"4380","4400","4390","TO-3348","41.2","12960","90","0","4390","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"4480","4500","4490","TO-3013","30","14550","110","0","4490","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"4780","4800","4790","TO-3443","45","17390","110","0","4790","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"5080","5100","5090","TO-3345","46.1","21350","150","0","5090","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"5280","5300","5290","TO-3016","48.1","22590","200","0","5290","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"6580","6600","6590","TO-3560","20","31710","300","0","6590","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"6980","7000","6990","TO-3014","33","33920","380","0","6990","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"6980","7000","6990","TO-3015","33","33300","340","0","6990","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"7260","7280","7270","TO-3012","20","25400","230","0","7270","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
"7560","7580","7570","TO-3346","47","41780","590","0","7570","20","14C","HU90-013-013_PC","N.pachyderma","web_GEOTOP"
