"170","380","400","780","35","712","14C","KIA9191","box_core_23258-3","Sinistral","NA","NA"
"360","1385","400","1785","30","1781","14C","KIA9192","NA","Sinistral","NA","NA"
"250","365","400","765","35","698","14C","KIA7648","Kasten_core_23258-2","Sinistral","NA","NA"
"510","1755","400","2155","30","2244","14C","KIA7649","NA","Sinistral","NA","NA"
"670","2700","400","3100","35","3376","14C","KIA7650","NA","Sinistral","NA","NA"
"930","4025","400","4425","40","5110","14C","KIA7651","NA","Sinistral","NA","NA"
"1180","5340","400","5740","70","6567","14C","KIA11534","NA","Dextral","NA","NA"
"1650","6860","400","7260","45","8106","14C","KIA7653","NA","Sinistral","NA","NA"
"1770","7580","400","7980","45","8892","14C","KIA7654","NA","Sinistral","NA","NA"
"1920","7960","400","8360","40","9271","14C","KIA8553","NA","Sinistral","NA","NA"
"2070","8155","400","8555","55","9570","14C","KIA11535","NA","Dextral","NA","NA"
"2410","8530","400","8930","70","9965","14C","KIA9193","NA","Sinistral","NA","NA"
"2495",NA,NA,NA,NA,"10046","14C","NA","NA","Sinistral","NA","Average_of__14C__ages_at_249_and_250_cm_depth__"
"3150","9180","900","10080","70","11490","14C","KIA7657","NA","Sinistral","NA","14C_res._Corr._900_yrs_(Bard_et_al._1994)"
"3200",NA,NA,NA,NA,"11600","tiepoint","NA","NA","NA","NA","Age_correlated_to_GISP2_age_of_top_Younger_Dryas"
"3550","11210","400","11610","55","13530","14C","KIA7658","NA","Sinistral","NA","NA"
"3940","11590","400","11990","60","13911","14C","KIA7659","NA","Sinistral","NA","NA"
"2490","8435","400","8835","50","9937","14C","KIA8554","NA","Sinistral","X","NA"
"2500","8635","400","9035","55","10155","14C","KIA9354","NA","Sinistral","X","NA"
"1180","5720","400","6120","40","7019","14C","KIA7652","NA","Sinistral","X","Replaced_by_age_of_N._pachyderma_dextral_"
"2060","7000","400","7400","40","8264","14C","KIA7655","NA","Sinistral","X","Ignored_because_of_age_reversal"
"2070","8310","400","8710","50","9742","14C","KIA9353","NA","Sinistral","X","Replaced_by_age_of_N._pachyderma_dextral_"
"2370","6340","400","6740",NA,"7607","14C","KIA7656","NA","Sinistral","X","Replaced_by_age_of_N._pachyderma_dextral_"
"2370","8200","400","8600","70","9630","14C","KIA11536","NA","Dextral","X","Ignored_because_of_age_reversal"
