"345","260","25","14C","AKJP_103","POZ8095","Macro"
"645","740","30","14C","AKJP_103","POZ_8101","Macro"
"1170","1730","30","14C","AKJP_103","POZ_8094","Macro"
"1350","1775","30","14C","AKJP_103","POZ_8098","Macro"
"1650","2480","30","14C","AKJP_103","POZ_8131","Macro"
"2000","3090","30","14C","AKJP_103","POZ_8099","Macro"
"2080","3330","35","14C","AKJP_103","POZ_8132","Macro"
"2980","6960","50","14C","AKJP_103","POZ_8339","Macro"
"3090","8240","40","14C","AKJP_103","POZ_8096","Macro"
"200","590","30","14C","VKJP_204","POZ12404","Macro"
"410","2660","30","14C","VKJP_204","POZ12405","Macro"
"580","3040","35","14C","VKJP_204","POZ12406","Macro"
"670","4100","35","14C","VKJP_204","POZ12408","Macro"
"870","6990","40","14C","VKJP_204","POZ12409","Macro"
"1035","6020","40","14C","VKJP_204","POZ12410","Macro"
"1120","4650","35","14C","VKJP_204","POZ12412","Macro"
"1410","8330","40","14C","VKJP_204","POZ12413","Macro"
"1230","6170","40","14C","VKJP_304","POZ12414","Macro"
"1450","3900","40","14C","VKJP_404","POZ12415","Macro"
"740","3540","35","14C","LMP_204","POZ12416","Macro"
"1610","6260","50","14C","LMP_204","POZ12417","Macro"
