"720","730","725","2885","60","93","251","71","725","10","14C","HU91-039-008_PC","Ua-2832","Megayoldia_thraciaefirmis","Levac_et_al_(2001)"
"4610","4640","4625","4065","50","86.8","251","71","4625","30","14C","HU91-039-008_PC","Ua-2833","Megayoldia_thraciaefirmis","Levac_et_al_(2001)"
"5270","5290","5280","4190","60","93","251","71","5280","20","14C","HU91-039-008_PC","Ua-4118","Megayoldia_thraciaefirmis","Levac_et_al_(2001)"
"7040","7050","7045","5110","55","89.8","251","71","7045","10","14C","HU91-039-008_PC","Ua-4450","Clinocardium_ciliatum","Levac_et_al_(2001)"
"8310","8340","8325","6675","75","103.3","251","71","8325","30","14C","HU91-039-008_PC","Ua-2834","Clinocardium_ciliatum","Levac_et_al_(2001)"
"8320","8340","8330","6800","60","93","251","71","8330","20","14C","HU91-039-008_PC","Ua-4119","Benthic_foraminifers","Levac_et_al_(2001)"
