"0","0",NA,NA,"0","0","surface","NA"
"8155","8160","2210","40","8157.5","5","14C_bulk","bulk_sediments"
"8545","8550","2985","45","8547.5","5","14C_bulk","bulk_sediments"
"9155","9165","3800","45","9160","10","14C_bulk","bulk_sediments"
"9835","9845","6025","50","9840","10","14C_bulk","bulk_sediments"
"10275","10285","7830","80","10280","10","14C_bulk","bulk_sediments"
"10435","10445","8970","90","10440","10","14C_bulk","bulk_sediments"
"10595","10605","9860","90","10600","10","14C_bulk","bulk_sediments"
"10715","10725","10350","90","10720","10","14C_bulk","bulk_sediments"
