"435","430","3720","45","4160","3960","432.5","5","14C","KIA27666","Salix_arctica"
"480","460","3820","55","4415","4085","470","20","14C","KIA25342","Dryas_octopetala"
"625","620","5695","40","6630","6400","622.5","5","14C","KIA27667","Salix_arctica"
"170","130","1135","30","1140","965","150","40","14C","Poz-6159","Warnstorfia_exannulata"
"320","270","1505","30","1515","1315","295","50","14C","Poz-6160","Warnstorfia_exannulata"
"610","560","2475","35","2715","2365","585","50","14C","Poz-6161","Dryas_octopetala"
"840","810","3590","35","3985","3825","825","30","14C","Poz-6163","Dryas_octopetala"
"1160","1120","5060","40","5910","5715","1140","40","14C","Poz-6164","Dryas_octopetala"
"1450","1420","6630","40","7575","7455","1435","30","14C","Poz-6165","Warnstorfia_exannulata"
"1450","1420","6440","40","7430","7290","1435","30","14C","Poz-6193","E._nigrum_Polytrichum_sp."
"1740","1700","8260","0","9420","9090","1720","40","14C","Poz-6194","Warnstorfia_exannulata"
