"0","0",NA,NA,"-48","0","0","surface","NA","NA","age_of_surface"
"250","260","1516","37","1399","255","10","14C","AA50045","gyttja","NA"
"525","535","3465","41","3743","530","10","14C","AA50046","gyttja","NA"
"805","815","3872","42","4306","810","10","14C","AA50053","wood","NA"
"815","825","4232","43","4753","820","10","14C","AA50047","gyttja","NA"
"1125","1135","4988","44","5717","1130","10","14C","AA50048","gyttja","NA"
"1347","1357","5830","47","6641","1352","10","14C","AA50049","gyttja","NA"
"1637","1647","7212","55","8028","1642","10","14C","AA50050","gyttja","NA"
"1897","1907","7975","72","8834","1902","10","14C","AA50051","gyttja","NA"
"2087","2097","8739","57","9724","2092","10","14C","AA50052","gyttja","NA"
