"4810","4810",NA,NA,"-42.4","4810","0","surface","NA","surface_assumed_from_record"
"5255","5260","1650","70",NA,"5257.5","5","14C_bulk","gyttja","NA"
"6535","6540","4135","100",NA,"6537.5","5","14C_bulk","gyttja","NA"
"7430","7445","6235","65",NA,"7437.5","15","14C_bulk","gyttja","NA"
"7835","7840","7310","70",NA,"7837.5","5","14C_bulk","gyttja","NA"
"8105","8110","8795","60",NA,"8107.5","5","14C_bulk","gyttja","NA"
"8195","8205","11530","150",NA,"8200","10","14C_bulk","gyttja","NA"
