"8","7.5","5",NA,"10","-3","short-lived_isotopes","09-LSP-4A","-","Pu_onset"
"237.5","237.5","5","200","144","168","14C","07-LSP-3","UCIAMS_37816","leaf_fragments"
"351","349","2","360","86","406","14C","09-LSP-4A","UCIAMS_72311","terrestrial_leaf_fragments;_moss_stems_and_leaves"
"462.5","460.5","5","595","41","607","14C","07-LSP-3","UCIAMS_37817","leaf_fragments"
"535","533","10","570","180","566","14C","09-LSP-4A","CAMS_144702","unidentified"
"697.5","695.5","5","1150","35.5","1052","14C","07-LSP-3","UCIAMS_37818","leaf_fragments"
"977.5","975.5","5","1600","56.5","1471","14C","07-LSP-3","UCIAMS_37819","leaf_fragments"
"1432.5","1430.5","5","2435","157.5","2477","14C","07-LSP-3","UCIAMS_37820","leaf_fragments"
"1635","1633","10","2875","50.5","2995","14C","07-LSP-3","UCIAMS_37821","leaf_fragments"
"2095","1842","10","3575","24.5","3875","14C","07-LSP-3","UCIAMS_37822","leaf_fragments"
"2292.5","2039.5","5","3905","57.5","4356","14C","07-LSP-3","UCIAMS_37823","leaf_fragments"
"2425","2172","10","4090","126","4575","14C","07-LSP-3","UCIAMS_37824","leaf_fragments"
"3035","2610","10","5320","80.5","6080","14C","07-LSP-3","UCIAMS_72311","woody_fragments;_moss_stems_and_leaves"
"3065","2640","10","5330","80","6103","14C","07-LSP-3","UCIAMS_37825","leaf_fragments"
"3435","3010","10","7075","34","7893","14C","07-LSP-3","UCIAMS_37826","unidentified"
"3565","3140","10","8910","39","9989","14C","07-LSP-3","UCIAMS_83790","Daphnia_egg_case_Juncus_seed_Bryophyte_Bryozoan"
"3630","3205","20","11610","71","13440","14C","07-LSP-3","UCIAMS_82294","moss_chitin_terrestrial_leaf_woody_fragments"
"3675","3250","10","11120","98","13002","14C","07-LSP-3","UCIAMS_83791","Daphnia_Bryozoa_isoetes_spore_chitin"
"3795","3370","10","10620","29","12584","14C","07-LSP-3","UCIAMS_83792","Bryophyte_stems_unidentified_vegetation"
"3830","3405","20","10330","167","12176","14C","07-LSP-3","UCIAMS_82295","aquatic_moss_chitin"
"4020","3585","20","17740","3224","21271","14C","07-LSP-3","CAMS_144698","unidentified"
"4025","3590","10","21260","2522","25431","14C","07-LSP-3","UCIAMS_72309","woody_fragments;_moss_stems"
"4230","3801","20","20440","141","24385","14C_bulk","07-LSP-3","CAMS_144828","bulk_sediment"
