"0","0",NA,NA,"-52",NA,NA,"0","0","surface","NA","NA","NA","surface_age_based_on_data"
"285","295","1150","50",NA,"1156","960","290","10","14C_bulk","Poz-807","bulk_sediments","NA","NA"
"555","560","1545","30",NA,"1474","1352","557.5","5","14C_bulk","Tua-3513A","bulk_sediments","NA","NA"
"935","940","2620","35",NA,"2758","2742","937.5","5","14C_bulk","Tua-3514A","bulk_sediments","NA","NA"
"1335","1340","3625","40",NA,"3951","3939","1337.5","5","14C_bulk","Tua-3515A","bulk_sediments","NA","NA"
"1685","1690","4520","40",NA,"5280","5028","1687.5","5","14C_bulk","Poz-808","bulk_sediments","NA","NA"
"2035","2040","5260","40",NA,"6105","5877","2037.5","5","14C","Beta-164122","plant_macrofossils","NA","NA"
"2255","2260","5880","40",NA,"6741","6655","2257.5","5","14C_bulk","Tua-3516A","bulk_sediments","NA","NA"
"2515","2520","7645","60",NA,"8442","8378","2517.5","5","14C_bulk","Tua-3517A","bulk_sediments","x","rejected"
"2695","2700","11680","60",NA,"13847","13497","2697.5","5","14C_bulk","Beta-164121","bulk_sediments","NA","NA"
