NA,NA,"0",NA,NA,"1996","1",NA,NA,NA,NA,"pb210","NA","NA","NA","NA"
NA,NA,"5",NA,NA,"1994","1",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"10",NA,NA,"1991","2",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"15",NA,NA,"1982","2",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"20",NA,NA,"1975","4",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"25",NA,NA,"1967","5",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"30",NA,NA,"1958","7",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"35",NA,NA,"1945","11",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"40",NA,NA,"1928","19",NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
NA,NA,"60",NA,NA,"1850",NA,NA,NA,NA,NA,"pb210","NA","NA","Pb-210","NA"
"330","310","320","1215","45",NA,NA,"1263","1046","320","20","14C_bulk","AA-26332","NA","Bulk_sediment","NA"
"430","400","415","1700","45",NA,NA,"1412","1734","415","30","14C_bulk","AA-26333","NA","Bulk_sediment","NA"
"540","500","520","2040","55",NA,NA,"1860","2153","520","40","14C_bulk","AA-26334","NA","Bulk_sediment","NA"
"640","600","620","1575","45",NA,NA,"1309","1571","620","40","14C_bulk","AA-26335","x","Bulk_sediment","Age_rejected_by_authors"
"640","600","620","1380","45",NA,NA,"1169","1411","620","40","14C","AA-26336","NA","Moss","NA"
"740","700","720","2055","45",NA,NA,"1867","2156","720","40","14C_bulk","AA-26337","x","Bulk_sediment","Age_rejected_by_authors"
"740","700","720","1880","50",NA,NA,"1687","1950","720","40","14C_bulk","AA-26338","NA","Moss_(small_sample)","NA"
"840","800","820","2530","60",NA,NA,"2427","2749","820","40","14C_bulk","AA-26339","NA","Bulk_sediment","NA"
"840","800","820","2750","170",NA,NA,"2430","3266","820","40","14C","AA-26340","x","Moss_(small_sample)","Age_rejected_by_authors"
"995","970","982.5","3130","50",NA,NA,"3159","3477","982.5","25","14C","AA-26341","NA","Moss_(small_sample)","NA"
"1250","1215","1232.5","4485","55",NA,NA,"4946","5310","1232.5","35","14C_bulk","AA-26342","x","Bulk_sediment","Age_rejected_by_authors"
"1250","1215","1232.5","4180","60",NA,NA,"4511","4867","1232.5","35","14C","AA-26343","NA","Moss_(small_sample)","NA"
"1390","1350","1370","5320","60",NA,NA,"6016","6212","1370","40","14C","AA-26344","NA","Moss","NA"
"1630","1590","1610","8160","65",NA,NA,"8945","9375","1610","40","14C_bulk","AA-26345","NA","Bulk_sediment","NA"
