NA,"0","0",NA,NA,"-56","0","0","surface","NA","NA","Surface_from_companion_surface_core"
NA,"662.5","667.5",NA,"24","1926","665","5","tephra","NA","NA","NA"
"33142","1000","1020","3975","150","5010","1010","20","14C","<120_Î¼m","x","rejected"
"31587","1300","1300","3800","70","4465","1300","0","14C","WS","NA","NA"
"31588","1490","1490","4435","150","4190","1490","0","14C","WS","NA","NA"
"33143","1900","1920","8115","60","9030","1910","20","14C","<120_Î¼m","NA","NA"
"41390","2070","2090","9080","160","10240","2080","20","14C","<120_Î¼m","NA","NA"
"33144","2300","2320","11350","80","13225","2310","20","14C","<120_Î¼m","NA","NA"
NA,"2400","2420","11140","160","13046","2410","20","14C","<120_Î¼m","NA","NA"
"33145","2600","2620","15840","500","19085","2610","20","14C","<120_Î¼m","x","rejected"
"33146","2820","2840","12830","1660","15085","2830","20","14C","<120_Î¼m","NA","NA	"
