unicode	latex	simple
°	\textdegree{}	degrees
Á	\'{A}	A
É	\'{E}	E
Ö	\"{O}	O
Ø	\O{}	O
á	\'{a}	a
ä	\"{a}	a
å	\aa{}	a
ç	\c{c}	c
è	\`{e}	e
é	\'{e}	e
ë	\"{e}	e
í	\'{\i}	i
ñ	\~{n}	n
ó	\'{o}	o
ô	\^{o}	o
ö	\"{o}	o
ú	\'{u}	u
ü	\"{u}	u
ý	\'{y}	y
č	\v{c}	c
ł	\l{}	t
–	\textendash{}	-
—	\textemdash{}	-
δ	\delta	d
