"375","1140","60","81.4","-92","55","14C","PL-96-112_BC","AA34306","Benthic_foraminifers","Voronina_et_al._(2001)"
"910","1980","70","89","-92","55","14C","PL-96-112_GC","AA35040","Dentalium_sp.","Voronina_et_al._(2001)"
"1560","2955","45","71.1","-92","55","14C","PL-96-112_GC","AA34307","Shell_debris","Voronina_et_al._(2001)"
"2060","3445","50","74.3","-92","55","14C","PL-96-112_GC","AA35041","Nuculana_pernula","Voronina_et_al._(2001)"
"2710","4190","60","81.4","-92","55","14C","PL-96-112_GC","AA35042","Bathyarca_glacialis","Voronina_et_al._(2001)"
"3095","5820","55","77.8","-92","55","14C","PL-96-112_GC","AA34308","Shell_debris","Voronina_et_al._(2001)"
"3760","7775","60","81.4","-92","55","14C","PL-96-112_GC","AA34309","Astarte_sp.","Voronina_et_al._(2001)"
"4060","7885","70","89","-92","55","14C","PL-96-112_GC","AA25446","Benthic_foraminifers","Voronina_et_al._(2001)"
