"0",NA,NA,"-49","surface","NA","NA","NA","Assumed_top_age_based_on_collection_year_(1999)"
"110","1030","400",NA,"14C_bulk","RTP_3311","Bulk_sediment","NA","NA"
"310","2690","400",NA,"14C_bulk","RTP_3316","Bulk_sediment","NA","NA"
"565","4075","80",NA,"14C","Ua-14994","Aquatic_moss","NA","NA"
"610","3690","400",NA,"14C_bulk","RTP_3312","Bulk_sediment","x","Age_rejected_by_authors"
"745","5000","85",NA,"14C","Ua-14995","Aquatic_moss","NA","NA"
"930","6290","400",NA,"14C_bulk","RTP_3317","Bulk_sediment","NA","NA"
"1170","8410","400",NA,"14C_bulk","RTP_3313","Bulk_sediment","x","Age_rejected_by_authors"
"1175","8525","80",NA,"14C_bulk","Ua-14996","Bulk_sediment","NA","NA"
"1185","9400","210",NA,"14C","Ua-14997","Aquatic_moss","x","Age_rejected_by_authors"
