"0","-60","1","surface","NA","NA"
"380","585","50","14C","OS-86052","Plant_remains"
"890","1860","60","14C","OS-86053","Plant_remains"
"1130","2240","30","14C","UCIAMS-119399","Plant_remains"
"1350","2770","50","14C","OS-86051","Plant_remains"
"1490","2880","50","14C","OS-86200","Plant_remains"
"1710","3255","15","14C","UCIAMS-119400","Plant_remains"
"1900","4140","70","14C","OS-93485","Plant_remains"
"2240","5690","70","14C","OS-87440","Plant_remains"
"2350","6170","80","14C","OS-86179","Plant_remains"
"2605","7930","40","14C","UCIAMS-119401","Plant_remains"
"2805","8075","40","14C","UCIAMS-119402","Plant_remains"
"3040","8260","80","14C","OS-86054","Plant_remains"
"3520","9220","100","14C","OS-86055","Plant_remains"
"3680","10050","35","14C","OS-93450","Plant_remains"
