"0",NA,NA,NA,"-51",NA,NA,NA,NA,"surface","NA","NA","NA","Assumed_top_age_based_on_collection_year_(2001)"
"375","395","890","40",NA,"920","710","385","20","14C_bulk","Beta-199874","Bulk_sediment","NA","NA"
"700","730","1680","50",NA,"1710","1500","715","30","14C","Beta-199875","Macrofossils","NA","NA"
"2080","2090","3500","40",NA,"3870","3670","2085","10","14C","Beta-199877","Macrofossils","NA","NA"
"2410","2430","4270","40",NA,"4870","4820","2420","20","14C_bulk","Beta-206009","Bulk_sediment","NA","Age_adjusted_based_on_offset_determined_by_tephra_age"
"2910","2930","5760","50",NA,"6670","6430","2920","20","14C_bulk","Beta-199878","Bulk_sediment","NA","NA"
"3140","3170","6150","50",NA,"7200","6890","3155","30","14C","Beta-206010","Macrofossils","NA","NA"
"3330","3350","7050","50",NA,"7960","7760","3340","20","14C","Beta-206011","Macrofossils","NA","NA"
"3490","3510","8590","40",NA,"9570","9520","3500","20","14C","Beta-213872","Macrofossils","NA","NA"
"3620","3640","8730","60",NA,"9920","9550","3630","20","14C","Beta-199879","Macrofossils","NA","NA"
"4040","4070","18950","170",NA,NA,NA,"4055","30","14C_bulk","Beta-206012","Bulk_sediment","x","Age_rejected_by_author"
