NA,"0","-56",NA,NA,NA,"surface","NA","NA","Assumed_top_age_based_on_collection_year_(2006)"
"29509","42.5","285","15","440","320","14C","Wood","NA","NA"
"29510","245","1350","15","1295","1285","14C","Hemlock_needles","x","Age_rejected_by_authors"
"134202","252.5","1180","20","1165","1055","14C","Hemlock_needles","x","Age_rejected_by_authors"
"134203","240","1500","35","1415","1345","14C","Mixed_macrofossils","x","Age_rejected_by_authors"
"33147","260","1200","40","1180","1070","14C","Hemlock_needles","NA","NA"
"29511","360","1390","20","1310","1290","14C","Hemlock_needles","NA","NA"
"134204","542.5","1565","15","1520","1420","14C","Mixed_macrofossils","NA","NA"
"33148","550","1655","40","1640","1470","14C","Hemlock_needles","NA","NA"
"134205","650","2040","60","2100","1920","14C","Aquatic_moss","NA","NA"
"134206","747.5","2390","70","2630","2290","14C","Mixed_macrofossils","NA","NA"
"134207","850","2790","70","2985","2815","14C","Aquatic_moss","NA","NA"
"29512","1335","3580","15","3905","3855","14C","Bark","NA","NA"
"33149","1497.5","4135","20","4790","4570","14C","Hemlock_needles","NA","NA"
"29513","1775","5975","25","6865","6765","14C","Bark","x","Age_rejected_by_authors"
"33150","1882.5","5135","20","5920","5900","14C","Aquatic_moss","NA","NA"
"34298","2767.5","8500","60","9530","9470","14C","Mixed_macrofossils","NA","NA"
