"0",NA,NA,NA,"-45",NA,NA,NA,NA,"surface","NA","NA","assumed_surface_=_-45_BP"
"715","705","1630","60",NA,"1692","1393","710","10","14C","TO-5719","aquatic_moss","NA"
"1170","1160","3780","70",NA,"4407","3981","1165","10","14C","TO-5245","aquatic_moss","NA"
"1450","1440","5150","70",NA,"6175","5725","1445","10","14C","TO-5255","aquatic_moss","NA"
"1920","1940","7250","80",NA,"8289","7934","1930","20","14C","TO-5720","moss_and_wood","NA"
"2290","2280","9830","80",NA,"11605","11097","2285","10","14C","TO-5246","aquatic_moss","NA"
"2525","2515","10240","120",NA,"12418","11405","2520","10","14C","TO-5721","aquatic_moss","NA"
"2875","2865","11520","110",NA,"13639","13163","2870","10","14C","TO-5722","aquatic_moss","NA"
"2980","2970","12310","100",NA,"14925","13942","2975","10","14C","TO-5247","aquatic_moss","NA"
