"100","110","1450","40","1300","1400","105","10","14C","Beta-231039","Macro"
"240","250","3460","40","3630","3840","245","10","14C","Beta-213866","Macro"
"430","450","4650","40","5310","5470","440","20","14C","Beta-231040","Macro"
NA,NA,NA,NA,"5560","5570",NA,NA,"unknown","NA","NA"
"495","505","5550","40","6290","6410","500","10","14C","Beta-210909","Macro"
"850","890","4650","40","5310","5470","870","40","14C","Beta-231041","Macro"
NA,NA,NA,NA,"5560","5570",NA,NA,"unknown","NA","NA"
"950","990","14000","60","16290","17050","970","40","14C_bulk","Beta-213867","Bulk"
"960","1000","10260","50","11770","12170","980","40","14C_bulk","Beta-213868","Bulk"
NA,NA,NA,NA,"12210","12240",NA,NA,"unknown","NA","NA"
NA,NA,NA,NA,"12320","12340",NA,NA,"unknown","NA","NA"
"1080","1090","3360","40","3480","3540","1085","10","14C","Beta-210907","Macro"
NA,NA,NA,NA,"3550","3690",NA,NA,"unknown","NA","NA"
"1160","1200","12640","50","14650","15160","1180","40","14C_bulk","Beta-213869","Bulk"
"1460","1500","10550","60","12250","12260","1480","40","14C_bulk","Beta-213870","Bulk"
NA,NA,NA,NA,"12380","12790",NA,NA,"unknown","NA","NA"
"1710","1750","10580","50","12400","12530","1730","40","14C_bulk","Beta-213871","Bulk"
NA,NA,NA,NA,"12550","12790",NA,NA,"unknown","NA","NA"
"1940","1960","10970","50","12840","13000","1950","20","14C","Beta-21090","Macro"
