"0",NA,NA,NA,NA,"10",NA,NA,NA,"surface","correlation_with_surface_core_indicates_5_cm_missing"
"160","200","11769","170","35","170","140","180","40","14C","Mixed"
"880","900","11770","550","40","570","50","890","20","14C","Vegetation"
"1930","1950","11771","2700","35","2800","40","1940","20","14C","Vegetation"
"2800","2820","11772","3140","35","3330","60","2810","20","14C","Vegetation"
"4780","4800","11773","4450","60","5080","200","4790","20","14C","Vegetation"
"5760","5790","11774","8120","70","9120","120","5775","30","14C","Mixed"
"6500","6510","11058","9710","90","1100","200","6505","10","14C","Mixed"
