"9360","9360",NA,NA,"-43.5","9360","0","surface","Assumed_top_age_based_on_collection_year_(1993)"
"9540","9550","1886","65",NA,"9545","10","14C_bulk","sediment"
"9920","9930","2130","70",NA,"9925","10","14C_bulk","sediment"
"10360","10370","2995","55",NA,"10365","10","14C_bulk","sediment"
"10840","10850","4705","70",NA,"10845","10","14C_bulk","sediment"
"11280","11290","6270","85",NA,"11285","10","14C_bulk","sediment"
"11360","11370","7240","60",NA,"11365","10","14C_bulk","sediment"
"11520","11530","9265","55",NA,"11525","10","14C_bulk","sediment"
