"300","350","1290","40","1195","204","325","50","14C","Bryophytes_leaf_and_branch_frags"
"590","610","2120","40","2146","310","600","20","14C","Plant_material_and_chironomids"
"950","1000","2410","40","2522","354","975","50","14C","Bryophytes_leaf_and_branch_frags"
"1530","1540","3030","40","3219","275","1535","10","14C","Plant_material_and_chironomids"
"2200","2250","4290","40","4850","242","2225","50","14C","Bryophytes_leaf_and_branch_frags"
"2950","3000","4890","40","5651","133","2975","50","14C","Bryophytes_leaf_and_branch_frags"
"3490","3500","4990","40","5746","279","3495","10","14C","Plant_material_and_chironomids"
"3950","3960","5000","40","5758","268","3955","10","14C","Plant_fragments"
"4530","4560","6160","40","7057","217","4545","30","14C","Plant_fragments"
"5440","5490","6320","40","7286","246","5465","50","14C","Bryophytes_leaf_and_branch_frags"
