"0","0",NA,"-55","0","surface","NA","NA","NA","NA","surface_captured_in_2005"
"525","30","820",NA,"50","14C","F","Picea_pollen","CAMS-56316","NA","NA"
"765","10","1210",NA,"50","14C","F","Picea_pollen","CAMS-56368","NA","NA"
"775","30","940",NA,"60","14C","F","Picea_pollen","CAMS-56363","NA","NA"
"1100","60","1840",NA,"60","14C","A","Picea_pollen","CAMS-29561","NA","NA"
"1990","20","3650",NA,"60","14C","A",">500_Âµ_aquatics","CAMS-20680","X","not_used_-_reservoir_effected"
"2090","30","2880",NA,"60","14C","A","Picea_pollen","CAMS-29562","NA","NA"
"2565","10","2970",NA,"60","14C","A",">500Âµ_aquatics","CAMS-20681","X","not_used_-_reservoir_effected"
"2970","20","4050",NA,"40","14C","A","Picea_pollen","CAMS-56309","NA","NA"
"3880","20","5150",NA,"50","14C","A","Picea_pollen","CAMS-56310","NA","NA"
"3880","20","4810",NA,"90","14C","A","Picea_needle_fragments_Picea_bud_base_1_Betula_seed","CAMS-56311","NA","NA"
"4142.5","25","5740",NA,"50","14C","A","Picea_pollen","CAMS-56312","NA","NA"
"4142.5","25","5520",NA,"120","14C","A","3_Betula_seeds","CAMS-56313","NA","NA"
"4440","20","6670",NA,"50","14C","A","Picea_pollen","CAMS-56314","NA","NA"
"4440","20","6410",NA,"200","14C","A","3_Betula_seeds","CAMS-56315","NA","NA"
"4575","30","7420",NA,"60","14C","A","Picea_pollen","CAMS-29559","NA","NA"
"4855","60","8670",NA,"60","14C","A","Picea_pollen","CAMS-22020","NA","NA"
"5480","20","9780",NA,"90","14C","A","bark","CAMS-31082","NA","NA"
"4340",NA,"6000",NA,NA,"tephra","A","oshetna_tephra","NA","NA","Mean_radiocarbon_years_(Child_et_al.(1998)"
