"0",NA,NA,"-49",NA,NA,"NA","surface","NA","NA","Assumed_top_age_based_on_collection_year_(1999)"
"90","690","30",NA,"675","565","KIA-10040","14C","Non-identified_macrofossils","NA","NA"
"990","2460","40",NA,"2750","2350","KIA-8915","14C","Non-identified_macrofossils","NA","NA"
"2010","5135","60",NA,"5995","5745","KIA-10041","14C","Non-identified_macrofossils","NA","NA"
"2990","6730","70",NA,"7685","7475","KIA-8916","14C","Non-identified_macrofossils","NA","NA"
"3990","8550","100",NA,"9710","9330","KIA-8920","14C","Non-identified_macrofossils","NA","NA"
"5010","9230","90",NA,"10680","10220","KIA-8917","14C","Non-identified_macrofossils","NA","NA"
"5970","10780","140",NA,"13140","12360","KIA-12131","14C","Non-identified_macrofossils","x","Age_rejected_as_too_old_by_authors"
"6530","11230","150",NA,"13790","12890","KIA-8759","14C","Non-identified_macrofossils","x","Age_rejected_as_too_old_by_authors"
"6710","14210","90",NA,"17570","16550","KIA-8760","14C","Non-identified_macrofossils","x","Age_rejected_as_too_old_by_authors"
"7180","9600","60",NA,"11175","10705","KIA-8761","14C","Shrub_twig","x","Age_rejected_as_too_old_by_authors"
"7350","10940","90",NA,"13165","12655","KIA-12132","14C","Non-identified_macrofossils","x","Age_rejected_as_too_old_by_authors"
"7940","11850","80",NA,"15235","13505","KIA-12133","14C","Non-identified_macrofossils","x","Age_rejected_as_too_old_by_authors"
"7950","32310","500",NA,NA,NA,"KIA-12776","14C_bulk","Total_organic","x","Age_rejected_as_too_old_by_authors"
"9110","36060","800",NA,NA,NA,"KIA-12780","14C_bulk","Total_organic","x","Age_rejected_as_too_old_by_authors"
"9940","9880","50",NA,"11550","11190","KIA-12134","14C","Non-identified_macrofossils","x","Age_rejected_as_too_old_by_authors"
"9950","27260","270",NA,NA,NA,"KIA-12777","14C_bulk","Total_organic","x","Age_rejected_as_too_old_by_authors"
"10350","9490","60",NA,"11095","10565","KIA-12135","14C","Moss_remains","NA","NA"
"11470","38690","270",NA,NA,NA,"KIA-12778","14C_bulk","Total_organic","x","Age_rejected_as_too_old_by_authors"
"11510","38920","630",NA,NA,NA,"KIA-12136","14C_bulk","Total_organic","x","Age_rejected_as_too_old_by_authors"
"11550","34190","570",NA,NA,NA,"KIA-12779","14C_bulk","Total_organic","x","Age_rejected_as_too_old_by_authors"
