"500","1705","38","1305","1263","1182","1310","14C","AAR-7509","Plant_remains"
"1060","2004","36","1604","1550","1486","1665","14C","AAR-7510","Plant_remains"
"2620","3200","60","2800","2985","2839","3178","14C","AAR-7511","Plant_remains"
"3270","3600","120","3200","3520","3410","3680","14C","AAR-8283","Plant_remains"
"5920","4200","50","3800","4282","4138","4412","14C","AAR-6835","Plant_remains"
"8120","5350","100","4950","5760","5650","5900","14C","AAR8297","Plant_remains"
"10170","6300","75","5900","6738","6591","6930","14C","AAR-6836","Plant_remains"
