"0",NA,NA,"-53",NA,"surface","NA","Assumed_surface"
"280","1070","40","981","59","14C","CAMS-110421","Charcoal"
"980","2120","50","2100","74","14C","CAMS-107023","Charcoal_+_woody_scale"
"1060","2350","60","2402","167","14C","CAMS-107022","Charcoal"
"1310","2650","45","2770","49","14C","CAMS-107024","Charcoal"
"1570","3180","45","3406","38","14C","CAMS-107025","Charcoal"
"2175","3795","40","4182","73","14C","CAMS-109289","Woody_twig"
"2710","4815","40","5524","58","14C","CAMS-110422","Charcoal"
"3620","7050","140","7873","133","14C","CAMS-109288","Woody_scale"
