"20","20",NA,NA,"128",NA,NA,"20","0","surface","NA","NA","assumed_surface_age_from_data","NA"
"530","540","1170","30",NA,"1174","984","535","10","14C","Poz-20601","pinus_needle","NA","NA"
"1040","1060","1815","30",NA,"1758","1826","1050","20","14C","Poz-20602","pinus_twig","NA","NA"
"1960","1970","3290","30",NA,"3516","3610","1965","10","14C","Poz-20606","pinus_needle","NA","NA"
"2320","2330","4120","40",NA,NA,NA,"2325","10","14C","Poz-20603","pinus_needle","age_rejected_by_author","x"
"2410","2420","3950","40",NA,"4522","4275","2415","10","14C","Poz-20604","betula_twig","NA","NA"
"3240","3450","5900","40",NA,"6831","6639","3345","210","14C","Poz-20607","pinus_needle","NA","NA"
"4040","4050","8030","50",NA,"9029","8656","4045","10","14C","Poz-20607","pinus_needle_a_piece_of_betula_leave_betula_katkin_scale","NA","NA"
