"0","0",NA,NA,"-49",NA,NA,"0","0","surface","surface","NA","NA","Assumed_top_age_based_on_collection_year_(1999)"
"200","210","2663","37",NA,"2742","2848","205","10","14C_bulk","SUERC-21513","gyttja","NA","NA"
"300","310","2256","37",NA,"2155","2345","305","10","14C_bulk","SUERC-21516","gyttja","NA","NA"
"400","410","2411","37",NA,"2346","2699","405","10","14C_bulk","SUERC-17505","gyttja","NA","NA"
"630","640","5080","40",NA,"5736","5915","635","10","14C","Poz-34966","plant_macros","NA","NA"
"720","730","4640","38",NA,"5301","5566","725","10","14C_bulk","SUERC-21517","gyttja","NA","NA"
"990","1000","3590","40",NA,"3728","4066","995","10","14C","Poz-34208","plant_macros","NA","NA"
"1000","1010","3571","40",NA,"3723","3979","1005","10","14C_bulk","SUERC-21518","gyttja","x","Age_rejected_as_too_old_by_authors"
"1280","1290","5555","38",NA,"6290","6406","1285","10","14C_bulk","SUERC-17506","gyttja","x","Age_rejected_as_too_old_by_authors"
"1520","1530","6878","39",NA,"7620","7794","1525","10","14C_bulk","SUERC-21519","gyttja","x","Age_rejected_as_too_old_by_authors"
"1720","1730","7039","39",NA,"7791","7954","1725","10","14C_bulk","SUERC-21520","gyttja","x","Age_rejected_as_too_old_by_authors"
"1790","1800","5460","40",NA,"6185","6317","1795","10","14C","Poz-34967","plant_macros","x","Age_rejected_as_too_old_by_authors"
"2000","2010","7304","37",NA,"8023","8180","2005","10","14C_bulk","SUERC-17509","gyttja","x","Age_rejected_as_too_old_by_authors"
"2230","2240","6250","40",NA,"7020","7265","2235","10","14C","Poz-34209","plant_macros","x","Age_rejected_as_too_old_by_authors"
"2280","2290","8661","44",NA,"9536","9733","2285","10","14C_bulk","SUERC-21521","gyttja","x","Age_rejected_as_too_old_by_authors"
"2390","2400","6780","50",NA,"7523","7700","2395","10","14C","Poz-34968","plant_macros","x","Age_rejected_as_too_old_by_authors"
"2540","2550","10212","45",NA,"11755","12086","2545","10","14C_bulk","SUERC-21522","gyttja","x","Age_rejected_as_too_old_by_authors"
"2840","2850","9738","43",NA,"10906","11242","2845","10","14C_bulk","SUERC-17510","gyttja","NA","NA"
"2890","2900","9440","50",NA,"10520","11063","2895","10","14C","Poz-34210","plant_macros","x","Age_rejected_as_too_old_by_authors"
"2970","2980","9200","50",NA,"10245","10500","2975","10","14C","Poz-34969","plant_macros","x","Age_rejected_as_too_old_by_authors"
"3000","3010","10213","45",NA,"11756","12087","3005","10","14C_bulk","SUERC-21523","gyttja","x","Age_rejected_as_too_old_by_authors"
"3140","3150","10610","44",NA,"12427","12664","3145","10","14C_bulk","SUERC-21526","gyttja","NA","NA"
