"0","0",NA,"1","-50",NA,NA,"0","0","surface","NA","NA","NA","NA"
"100","100",NA,"5","64",NA,NA,"100","0","210Pb","NA","NA","NA","depth_range_and_error_estimated_(NPM_01.16.14)"
"240","250","320","35",NA,"470","300","245","10","14C","131673a","charcoal","NA","NA"
"290","300","370","35",NA,"525","395","295","10","14C","14756b","lignified_material","NA","NA"
"340","360","1030","40",NA,"1010","900","350","20","14C","107027a","pollen","x","Age_rejected_by_author"
"400","410","600","45",NA,"660","530","405","10","14C","131674a","wood","NA","NA"
"510","520","1575","35",NA,"1536","1386","515","10","14C","145304a","needle","NA","NA"
"550","560","1730","40",NA,"1717","1545","555","10","14C","80803a","wood","NA","NA"
"780","790","2970","50",NA,"3367","2863","785","10","14C","145305a","epithelium","NA","NA"
"1100","1110","3485","40",NA,"3872","3640","1105","10","14C","84950a","needle","NA","NA"
"1300","1310","4005","45",NA,"4655","4301","1305","10","14C","80799a","wood","NA","NA"
"1680","1690","5250","40",NA,"6084","5924","1685","10","14C","80800a","wood","NA","NA"
