"40","70","605","70","710","480","55","30","14C","Hela-499","Betula_seeds_leaves_twig"
"220","230","775","65","757","613","225","10","14C","Hela-508","Piece_of_wood"
"480","490","1725","65","1826","1490","485","10","14C","Hela-500","Pinus_needle"
"750","760","2555","105","2748","2724","755","10","14C","Hela-509","Scale_wood"
"1130","1140","3495","65","3782","3756","1135","10","14C","Hela-513","Indet."
"1370","1380","4615","75","5352","5280","1375","10","14C","Hela-510","Pinus_needle"
"1730","1740","5620","85","6590","6220","1735","10","14C","Hela-502","Pinus_needle_wood_seeds"
"2100","2110","7225","115","8527","7459","2105","10","14C","Hela-511","Betula_leaves_and_seeds_wood"
"2260","2270","7730","90","8683","8313","2265","10","14C","Hela-503","Betula_seeds_bark"
"2470","2480","8110","120","9469","8581","2475","10","14C","Hela-512","Berk_Betula_seeds"
"2650","2660","8765","110","10427","9245","2655","10","14C","Hela-504","Betula_leaves"
