"5","940","190","70","14C","B3","mixed_benthic_foraminifers","Missing_top_of_core"
"125","1230","480","50","14C","B3","mollusc_fragments","NA"
"255","1530","780","30","14C","B3","mollusc_fragments","NA"
"415","1980","1230","30","14C","B3","mollusc_fragments","NA"
"450","2170","1420","90","14C","P1","mollusc_fragments","NA"
"700","3340","2590","50","14C","P1","mollusc_fragments","NA"
"850","5120","4370","110","14C","P1","mixed_benthic_foraminifers","NA"
"1195","6240","5490","70","14C","P1","mixed_benthic_foraminifers","NA"
"1250","6590","5840","70","14C","P1","Bathyarca_sp.","NA"
"1550","7030","6280","110","14C","P1","mixed_benthic_foraminifers","NA"
