NA,NA,NA,"-50",NA,NA,"surface","NA","NA","Assumed_zero_age_(-50_yrs_BP)_at_0_cm_level"
"1100","855","40",NA,"905","687","14C","Ua-22494","sphagnum","NA"
"1750","1280","40",NA,"1293","1089","14C","Ua-22495","sphagnum","NA"
"3200","1905","45",NA,"1946","1725","14C","Ua-23251","sphagnum","NA"
"4950","4785","45",NA,"5602","5330","14C","Ua-22496","sphagnum","NA"
"5500","6985","55",NA,"7934","7696","14C_bulk","Ua-23252","bulk_peat","NA"
"6190","8685","70",NA,"9895","9535","14C_bulk","Ua-22497","bulk_peat","NA"
