"0",NA,NA,NA,NA,"-60","surface","NA","NA","NA","assumed_core_top_age"
"40","107.11","0.36","-6","-60",NA,"14C","Undetermined_plant_remains","Poz-24707","x","rejected_by_author"
"175.5","370","100","555","0","391","14C","Aquatic_moss","Poz-31628","NA","NA"
"280","620","80","685","515","603","14C","Betula_leaf","Poz-31632","NA","NA"
"303.5","655","35","670","555","613","14C","Betula_bark_fragment","Poz-31629","NA","NA"
"331","775","30","735","670","702","14C","Salix_leaf","Poz-26852","NA","NA"
"403","945","35","930","785","855","14C","Twig","Poz-31630","NA","NA"
"520","1005","30","970","800","915","14C","Wood","Poz-35136","NA","NA"
"612","1260","40","1280","1080","1197","14C","1_Salix_and_2_Betula_leaves","Poz-38952","NA","NA"
"668","1260","35","1280","1085","1201","14C","Aquatic_moss","Poz-30535","NA","NA"
"672","1265","30","1285","1090","1211","14C","Wood","Lyon-7300","NA","NA"
"680","1410","30","1355","1285","1319","14C","Wood","Lyon-7301","NA","NA"
"693","1305","30","1290","1180","1238","14C","Twig","Poz-35135","NA","NA"
"713.5","1450","30","1385","1300","1341","14C","Betula_leaf","Lyon-7302","NA","NA"
"792","1580","60","1605","1345","1470","14C","Leaf","Poz-31633","NA","NA"
"895","1775","40","1815","1570","1694","14C","Betula_wood","Lyon-31874","NA","NA"
"944","1930","30","1945","1820","1877","14C","Betula_wood","Lyon-7303","NA","NA"
"1130","2250","40","2345","2155","2247","14C","Betula_leaves_fragments","Poz-37363","NA","NA"
"1263","2620","70","2875","2490","2707","14C","Aquatic_moss","Poz-30536","NA","NA"
"1615.5","3070","40","3170","3375","3288","14C","Betula_leaf","Poz-37364","NA","NA"
"1904","3740","70","3895","4295","4104","14C","Twig","Poz-30537","NA","NA"
"2065.5","4250","35","4650","4865","4806","14C","Wood","Poz-35131","NA","NA"
"2076","4110","35","4520","4815","4654","14C","Wood","Poz-37365","NA","NA"
"2424","6970","70","7679","7935","7804","14C","Twig","Poz-37366","NA","NA"
"2485","7440","40","8180","8350","8266","14C","Wood","Poz-35130","NA","NA"
"2525","7560","50","8210","8445","8366","14C","Wood_and_leaves_fragments","Poz-24710","NA","NA"
"2604","8350","80","9130","9515","9339","14C","Vaccinum_and_Betula_leaves_fragments","Poz-37367","NA","NA"
"2709","8330","60","9135","9475","9334","14C","Ericacea_leaf","Poz-30538","NA","NA"
"3927","8920","190","9540","10430","9992","14C","herb_rhizome_epidermis","Poz-31634","NA","NA"
