"0",NA,NA,NA,"0","10",NA,NA,"surface","NA","NA"
"370","330","1840","60",NA,NA,"350","40","14C_bulk","Lu-3027","Gyttja"
"540","500","2630","60",NA,NA,"520","40","14C_bulk","Lu-2965","Gyttja"
"830","800","2690","60",NA,NA,"815","30","14C_bulk","Lu-2964","Gyttja"
"1130","1100","3180","60",NA,NA,"1115","30","14C_bulk","Lu-2963","Gyttja"
"1430","1400","3880","70",NA,NA,"1415","30","14C_bulk","Lu-2692","Gyttja"
"1690","1660","4240","70",NA,NA,"1675","30","14C_bulk","Lu-2961","Gyttja"
"2030","2000","5060","70",NA,NA,"2015","30","14C_bulk","Lu-2960","Gyttja"
"2330","2300","5910","70",NA,NA,"2315","30","14C_bulk","Lu-2959","Gyttja"
"2630","2600","7150","80",NA,NA,"2615","30","14C_bulk","Lu-2958","Gyttja"
"2930","2900","8490","100",NA,NA,"2915","30","14C_bulk","Lu-2957","Gyttja"
"3250","3200","9560","100",NA,NA,"3225","50","14C_bulk","Lu-2955","Organic_silts"
