"30","40","100",NA,NA,"35","10","Pb","NA"
"110","120",NA,"1140","25","115","10","14C","UCI-89381"
"280","290",NA,"1970","35","285","10","14C","OS-89641___"
"350","360",NA,"2080","20","355","10","14C","UCI-89382"
"530","540",NA,"1885","20","535","10","14C","UCI-87237"
"620","630",NA,"2180","35","625","10","14C","OS-89642"
"770","780",NA,"3145","20","775","10","14C","UCI-87238"
"1020","1030",NA,"4010","30","1025","10","14C","UCI-89383"
"1210","1220",NA,"5575","30","1215","10","14C","UCI-89384"
"1450","1460",NA,"7540","80","1455","10","14C","UCI-87239"
"1500","1510",NA,"7375","25","1505","10","14C","UCI-89385"
