"0","0",NA,NA,"-43",NA,NA,"0","0","surface","NA"
"40","50","114","30",NA,NA,NA,"45","10","14C","Poz-19656"
"130","140","1120","30",NA,"1167","956","135","10","14C","Poz-18597"
"300","310","1335","30",NA,"1305","1180","305","10","14C","Poz-26424"
"440","450","1614","36",NA,"1598","1408","445","10","14C","Poz-16805"
"480","490","1750","30",NA,"1734","1561","485","10","14C","Poz-19675"
"610","620","1770","30",NA,"1813","1605","615","10","14C","Poz-19658"
"690","700","2160","30",NA,"2308","2056","695","10","14C","Poz-19659"
"860","870","2605","32",NA,"2779","2620","865","10","14C","Poz-16806"
"940","950","2915","30",NA,"3201","2961","945","10","14C","Poz-19660"
"1170","1180","3250","35",NA,"3562","3394","1175","10","14C","Poz-19661"
"1270","1290","3690","90",NA,"4378","3730","1280","20","14C","AECV1966"
"1580","1590","3890","35",NA,"4420","4184","1585","10","14C","Poz-19662"
"1845","1855","5250","40",NA,"6179","5922","1850","10","14C","Poz-20142"
"1980","1990","5780","90",NA,"6793","6354","1985","10","14C","AECV1905"
