"230","0.7265","0.001","-28.1","2565","15","2680","60","14C","08NOR-3","CURL-10089","plant_macrofossils"
"400","0.6746","0.0013","-24","3160","20","3400","40","14C","08NOR-3","CURL-12613","plant_macrofossils"
"610","0.5928","9e-04","-24.9","4200","15","4740","90","14C","08NOR-3","CURL-12600","plant_macrofossils"
"740","0.5562","0.001","-28.6","4715","20","5450","130","14C","08NOR-3","CURL-10091","plant_macrofossils"
"1000","0.4631","8e-04","-28.8","6185","15","7090","80","14C","08NOR-3","CURL-12603","plant_macrofossils"
"1030","0.4006","8e-04","-12.7","7350","20","8160","120","14C","08NOR-3","CURL-10092","plant_macrofossils"
