"200","995","60","451","139","14C","LuS_8471","NA","mixed_benthic_foram"
"430","1240","90","644","182","14C","LuS_9500","NA","mixed_benthic_foram"
"580","1645","60","1033","176.5","14C","LuS_8469","NA","mixed_benthic_foram"
"905","1705","110","1091","247","14C","LuS_9124","X","mixed_benthic_foram"
"1280","2835","100","2382","296.5","14C","LuS_9125","NA","mixed_benthic_foram"
"1820","3775","150","3519","407","14C","LuS_9502","NA","mixed_benthic_foram"
"2300","4625","60","4640","198","14C","LuS_8468","NA","mixed_benthic_foram"
"2620","5400","60","5598","192","14C","LuS_8470","NA","mixed_benthic_foram"
"3750","6980","130","7327","278.5","14C","AAR-2422","NA","Bivalve"
"4130","7600","70","7893","196","14C","AAR-2688","NA","Bivalve"
"4620","8415","80","8783","256.5","14C","LuS_8467","NA","mixed_benthic_foram"
