"10","72","37",NA,NA,"14C","AA38584","Bathyarca_glacialis","NA","NA"
"425","680","30","364","281","14C","CURL-5732","Arca_glacialis","NA","NA"
"1310","1010","30","623","556","14C","CURL-5733","Macoma_sp","NA","NA"
"1610","1124","41","711","644","14C","AA54589","cf._Macoma_balthica","NA","NA"
"1775","1226","25","795","718","14C","AA38585","Bathyarca_glacialis","NA","NA"
"2460","1535","47","1161","1036","14C","AA54593","mixed_benthic_forams","NA","NA"
"2660","1693","42","1293","1210","14C","AA47785","Macoma_sp","NA","NA"
"3510","1978","35","1593","1489","14C","AA57895","cf._Yoldia_glacialis","NA","NA"
"4120","2396","47","2098","1966","14C","AA54590","cf._Macoma_balthica","NA","NA"
"4560","2578","48","2315","2189","14C","AA38586","Yoldia_cf._myalis","NA","NA"
"5630","3017","39","2824","2741","14C","AA57896","Yoldia_sp.","NA","NA"
"6210","3375","80","3345","3142","14C","AA54592","mixed_benthic_forams","NA","NA"
"7075","3840","33","3845","3730","14C","AA57897b","Arca_glacialis","NA","NA"
"8150","3949","39","3992","3866","14C","AA57898","Yoldia_sp.","NA","NA"
"9375","4340","46","4527","4407","14C","AA54591","cf._Nucula","NA","NA"
"9740","4505","50","4793","4638","14C","AA35175","Unid._Gastropod","NA","NA"
"11620","5296","53","5704","5592","14C","AA47786","Yoldia_cf._lenticula","NA","NA"
"12680","5826","51","6289","6192","14C","AA57899","Yoldia_sp.","NA","NA"
"13980","6833","81","7419","7274","14C","AA61217","mixed_benthic_forams","NA","NA"
"15195","7749","62","8298","8159","14C","AA38587","Yoldia_cf._glacialis","NA","NA"
"15680","8084","57","8608","8458","14C","AA51435","Macoma_balthica","NA","NA"
"17080","8572","78","9330","9106","14C","AA61220","N._labradorica","NA","NA"
"17080","8609","92","9392","9150","14C","AA61221","G._auriculata","x","Age_rejected_by_authors"
"17180","8590","43","9325","9162","14C","AA57900a","Unid._Molluscs","NA","NA"
"19805","9265","70","10193","9966","14C","AA35176","Unid._Mollusc","NA","NA"
"20680","9477","88","10425","10227","14C","AA54594","mixed_benthic_forams","NA","NA"
"24990","10920","85","12672","12351","14C","AA35805","mixed_benthic_forams","x","Age_rejected_by_authors"
