"0","0",NA,NA,"-54","-50","-58","0","0","surface","NA","NA"
"15","15","1110","60",NA,"1060","950","15","0","14C","GX-20142-AMS","Aquatic_moss"
"355","355","2310","55",NA,"2350","2210","355","0","14C","NSRL-10272","Aquatic_moss"
"765","765","3610","95",NA,"4080","3730","765","0","14C","NSRL-10273","Macro"
"1070","1070","4770","60",NA,"5590","5330","1070","0","14C","AA-15621","Macro"
"1080","1080","4860","60",NA,"5650","5490","1080","0","14C","AA-15622","Aquatic_moss"
"1375","1375","5870","65",NA,"6750","6570","1375","0","14C","NSRL-10274","Aquatic_moss"
"1675","1675","7620","55",NA,"8420","8380","1675","0","14C","NSRL-10590","Aquatic_moss"
"2025","2025","9260","80",NA,"10560","10250","2025","0","14C","NSRL-10275","Macro"
"2750","2750","10440","100",NA,"12800","12110","2750","0","14C","AA-20501","Aquatic_moss"
"3035","3035","10950","120",NA,"12810","11770","3035","0","14C","GX-20139-AMS","Marine_algae"
"3665","3665","11350","100",NA,"12980","12660","3665","0","14C","GX-20140-AMS","Marine_algae"
