"50","30","760","70","320","400","40","20","14C","TUa-759","N._pachyderma_(r.)"
"1030","1010","2465","70","2025","2100","1020","20","14C","TUa-760","N._pachyderma_(r.)"
"1500","1480","3350","70","2910","3185","1490","20","14C","TUa-761","N._pachyderma_(r.)"
"2500","2480","5720","75","5280","6105","2490","20","14C","TUa-762","Uvigerina_mediterranea"
"3000","2980","6885","65","6445","7350","2990","20","14C","TUa-1300","U._mediterranea"
"3350","3330","7755","65","7315","8170","3340","20","14C","TUa-1301","U._mediterranea"
"3500","3480","7880","60","7440","8280","3490","20","14C","TUa-763","U._mediterranea"
"3750","3730","8495","70","8055","9080","3740","20","14C","TUa-1302","U._mediterranea"
"4680","4650","9325","75","8885","9950","4665","30","14C","TUa-764","U._mediterranea"
