"120","2480","90","2300","1836","14C","Gif","Plankt_forams","NA"
"265","4155","60","4354","3930","14C","Tua-3914","Plankt_forams","NA"
"535","6285","75","6873","6461","14C","Tua-3915","Plankt_forams","NA"
"720","6880","100","7541","7141","14C","Gif","Plankt_forams","NA"
"1360","9390","110","10465","9803","14C","Gif","Plankt_forams","NA"
"1685.5","9905","400","12008","9682","14C","Tua-116","Plankt_forams","NA"
"1960","9470","105","10513","9990","14C","Tua-465","Plankt_forams","NA"
"2100","8520","120","9400","8701","14C","Gif","Plankt_forams","NA"
"2610","10510","115","11876","11107","14C","Tua-464","Plankt_forams","NA"
"2785","12121",NA,NA,NA,"tephra","NA","Tephra_-_Vedde_Ash","Age_of_tephra_from_Andersen_et_al._(2006)"
"3080","11475","75","13088","12845","14C","Tua-466","Plankt_forams","NA"
"4310","12330","150","14032","13379","14C","Gif","Plankt_forams","NA"
