"5","5",NA,NA,"-39.7561340332031",NA,NA,"5","0","surface","NA","NA","surface_age_estimated_from_data","NA"
"290","280","680","45",NA,"690","550","285","10","14C","Ua-21959","Betula_twig_woody_fragments_and_Empetrum_leaves","NA","NA"
"420","410","1070","50",NA,"1090","910","415","10","14C","Ua-21960","Betula_twig_woody_fragments_and_Empetrum_leaves","NA","NA"
"640","630","1740","55",NA,"1820","1530","635","10","14C","Ua-21961","Woody_fragments_Empetrum_leaves_and_leaf_fragments","NA","NA"
"780","770","1855","45",NA,"1890","1630","775","10","14C","Ua-21962","Woody_fragments_and_Empetrum_leaves","NA","NA"
"1170","1160","4170","60",NA,"4840","4520","1165","10","14C","Ua-21963","Twig_woody_fragments_Empetrum_and_Juniperus_leaves_leaf_fragments","NA","NA"
"1230","1220","4290","55",NA,"5040","4640","1225","10","14C","Ua-21964","Empetrum_leaves_and_plant_debris","NA","NA"
"1280","1270","4514","35",NA,"5310","5040","1275","10","14C","AA_49006","Woody_fragments_Empetrum_leaves_and_leaf_fragments","NA","NA"
"1370","1360","4810","55",NA,"5660","5330","1365","10","14C","Ua-21965","Woody_fragments_Empetrum_leaves_and_moss_fragments","NA","NA"
"1460","1450","5275","55",NA,"6200","5920","1455","10","14C","Ua-21966","Woody_pieces_Empetrum_leaves_and_Empetrum_stone","NA","NA"
"2010","1990","7940","105",NA,"9100","8450","2000","20","14C","Ua-21967","Leaf_fragments_and_wood","NA","NA"
"2090","2070","10615","85",NA,"13000","12150","2080","20","14C","Ua-21968","Moss_fragments","Age_not_included_in_chronology","x"
"2230","2210","10580","90",NA,"12950","12100","2220","20","14C","Beta_144238","Moss_fragments","Age_not_included_in_chronology","x"
