"0","0",NA,NA,"-37","3","0","0","surface","surface_age","NA","Assumed_top_age_based_on_collection_year_(assumed_1987_+/-_3)NM"
"250","300","1480","90",NA,NA,"275","50","14C_bulk","Beta-11448","bulk_sediment","NA"
"550","600","2100","100",NA,NA,"575","50","14C_bulk","Beta-8727","bulk_sediment","NA"
"950","1000","2770","90",NA,NA,"975","50","14C_bulk","Beta-8728","bulk_sediment","NA"
"1250","1300","3710","90",NA,NA,"1275","50","14C_bulk","Beta-8729","bulk_sediment","NA"
"1400","1450","4370","100",NA,NA,"1425","50","14C_bulk","Beta-11449","bulk_sediment","NA"
"1600","1650","6000","100",NA,NA,"1625","50","14C_bulk","Beta-8730","bulk_sediment","NA"
"1900","1950","7000","140",NA,NA,"1925","50","14C_bulk","Beta-8731","bulk_sediment","NA"
"2350","2400","7870","130",NA,NA,"2375","50","14C_bulk","Beta-8732","bulk_sediment","NA"
"2525","2575","8300","130",NA,NA,"2550","50","14C_bulk","Beta-11450","bulk_sediment","NA"
"2700","2750","9160","120",NA,NA,"2725","50","14C_bulk","Beta-8733","bulk_sediment","NA"
"2900","2950","9080","130",NA,NA,"2925","50","14C_bulk","Beta-11451","bulk_sediment","NA"
"3130","3200","9300","150",NA,NA,"3165","70","14C_bulk","Beta-8734","bulk_sediment","NA"
"3400","3450","10070","130",NA,NA,"3425","50","14C_bulk","Beta-11452","bulk_sediment","NA"
"3700","3780","10690","210",NA,NA,"3740","80","14C_bulk","Beta-8735","bulk_sediment","NA"
