"1.25","1.25","10","7.06","6","8.2","36.576","33.2","39.6",NA
"3.75","3.75","30","6.665","6","7.996","38.221","35.464","39.6",""
"6.25","6.25","51","6.73","6","8.189","37.523","33.37","39.6","98BIR-G01"
"8.75","8.75","71","6.682","6","8.047","37.499","33.298","39.6","98BIR-G01"
"11.25","11.25","91","6.627","6","7.881","38.398","35.993","39.6","98BIR-G01"
"13.75","13.75","111","7.191","6.2","8.3","38.165","35.295","39.6","98BIR-G01"
"16.25","16.25","131","7.268","6.2","8.3","37.883","34.45","39.6","98BIR-G01"
"18.75","18.75","152","7.29","6.2","8.3","37.955","34.665","39.6","98BIR-G01"
"21.25","21.25","172","6.644","6","7.931","37.754","34.061","39.6","98BIR-G01"
"23.75","23.75","192","6.82","6","8.2","37.284","33.2","39.6","98BIR-G01"
"26.25","26.25","212","6.981","6.2","8","38.798","37.4","39.6","98BIR-G01"
"28.75","28.75","233","7.275","6.2","8.3","38.022","34.867","39.6","98BIR-G01"
"31.25","31.25","253","7.081","6.2","8","38.764","37.4","39.6","98BIR-G01"
"33.75","33.75","273","7.079","6.2","8.3","38.656","37.4","39.6","98BIR-G01"
"5","35","283","7.009","6.2","8.3","38.735","37.4","39.6","98BIR-G01"
"30","60","486","7.859","6.978","8.3","38.225","37.4","39.6","98BIR-G01"
"60","90","730","7.404","6.2","8.3","37.822","34.265","39.6","98BIR-02"
"90","120","974","7.752","6.657","8.3","37.834","34.302","39.6","98BIR-02"
"120","150","1213","6.996","6.2","8","38.045","34.934","39.6","98BIR-02"
"150","180","1444","7.288","6.2","8.3","38.59","37.4","39.6","98BIR-02"
"180","210","1667","7.788","6.765","8.3","38.043","37.4","39.33","98BIR-02"
"210","240","1882","7.282","6.2","8.3","37.669","33.806","39.6","98BIR-02"
"240","270","2085","6.622","6","7.865","38.297","35.691","39.6","98BIR-02"
"270","300","2310","7.096","6.2","8","37.743","34.029","39.6","98BIR-02"
"300","330","2613","7.196","6.2","8","38.673","37.4","39.6","98BIR-02"
"330","360","3002","7.615","6.244","8.3","38.347","37.4","39.6","98BIR-02"
"360","390","3430","7.421","6.264","8","35.725","31.7","39.6","98BIR-02"
"390","420","3883","7.439","6.2","8.3","38.448","37.4","39.6","98BIR-02"
"420","450","4350","7.352","6.2","8","37.224","32.473","39.6","98BIR-02"
"450","480","4824","7.162","6.2","8","38.744","37.4","39.6","98BIR-02"
"480","510","5294","7.579","6.2","10.336","34.26","30.2","39.6","98BIR-02"
"510","540","5754","9.402","7.1","11.4","35.905","31.7","40.8","98BIR-02"
"540","570","6195","7.869","7.1","9","32.729","31.786","33.2","98BIR-02"
"570","600","6607","6.914","3.6","9","32.043","28.4","34","98BIR-02"
"600","630","6969","8.268","7.4","9","33.475","31.6","37.225","98BIR-02"
"630","660","7237","9.256","7.6","10.5","35.769","32.9","37.9","98BIR-02"
"660","690","7449","8.59","7.1","10.7","35.626","31.7","39.6","98BIR-02"
"690","720","7626","8.7","7.1","10.7","34.433","31.7","37.6","98BIR-02"
"720","750","7775","6.857","6.1","8.372","30.522","29.8","31.6","98BIR-02"
"750","780","7906","7.596","6.1","10.587","31.894","29.8","36.082","98BIR-02"
"780","810","8025","7.301","6.4","8.4","33.776","30.2","39.6","98BIR-02"
"810","840","8135","6.868","6.1","8.4","30.54","29.8","31.6","98BIR-02"
"840","870","8237","6.584","6.1","7.2","30.302","29.8","30.7","98BIR-02"
"870","900","8334","6.601","6.1","7.2","30.32","29.8","30.7","98BIR-02"
