"0",NA,NA,NA,"-48",NA,NA,"surface","NA","NA","NA","Assumed_top_age_based_on_collection_year_(1998)"
"115","1000","50","1000",NA,"963","902","14C","NSRL-11345","NA","Macroflora","NA"
"115","1700","45","1700",NA,NA,NA,"14C_bulk","NSRL-11346","x","Humic_acids","Age_not_used_by_author"
"235","2510","45","1973",NA,"1951","1879","14C_bulk","NSRL-10621","NA","Humic_acids","NA"
"315","2270","60","2270",NA,"2245","2177","14C","NSRL-11347","NA","Macroflora","NA"
"315","2840","55","2840",NA,NA,NA,"14C_bulk","NSRL-11348","x","Humic_acids","Age_not_used_by_author"
"435","4290","50","3753",NA,"4158","4076","14C_bulk","NSRL-10622","NA","Humic_acids","NA"
"635","6810","55","6273",NA,"7270","7158","14C_bulk","NSRL-10623","NA","Humic_acids","NA"
"830","7670","60","7670",NA,NA,NA,"14C_bulk","NSRL-10624","x","Humic_acids","Age_not_used_by_author"
"830","7330","95","7330",NA,"8205","8020","14C","NSRL-10176","NA","Macroflora","NA"
"1425","8560","100","8560",NA,"9634","9466","14C","NSRL-10139","NA","Macroflora","NA"
