"100","110","1350","60","105","10","14C","GifA_96590","Globigerina_bulloides_"
"600","610","2220","60","605","10","14C","GifA_96591","Globigerina_bulloides_"
"1100","1110","3390","60","1105","10","14C","GifA_96592","Globigerina_bulloides_"
"2000","2010","4660","70","2005","10","14C","GifA_96593","Globigerina_bulloides_"
"2400","2410","5310","80","2405","10","14C","GifA_96598","Globigerina_bulloides_"
"3700","3710","7540","90","3705","10","14C","GifA_96599","Globigerina_bulloides_"
"4400","4410","8560","80","4405","10","14C","GifA_96600","Globigerina_bulloides_"
"5000","5020","8840","90","5010","20","14C","GifA_96601","Globigerina_bulloides_"
"6000","6020","9540","90","6010","20","14C","GifA_96602","Globigerina_bulloides_"
"7000","7020","9940","90","7010","20","14C","GifA_96603","Globigerina_bulloides_"
"7490","7500","11590","90","7495","10","14C","GifA_96604","Globigerina_bulloides_"
