"0","0",NA,NA,"-45",NA,NA,"0","0","surface","NA","NA","Assumed_top_age_based_on_collection_year_(1995)","NA"
"280","250","440","75",NA,"624","320","265","30","14C","Ua-10117","Leaf_of_Salix","NA","NA"
"600","580","1270","90",NA,"1333","997","590","20","14C","Ua-10118","Leaves_and_twigs_of_Betula_and_Salix_","NA","NA"
"900","880","2270","105",NA,"2682","2042","890","20","14C","Ua-10119","Leaves_and_twigs_of_Betula_and_Salix_","NA","NA"
"1100","1070","2570","75",NA,"2832","2388","1085","30","14C","Ua-10399","Leaves_of_Betula","NA","NA"
"1160","1140","3940","105",NA,"4797","4099","1150","20","14C","Ua-10120","Twigs_of_Betula_and_Salix","Age_rejected_by_authors","x"
"1460","1440","3695","70",NA,"4283","3865","1450","20","14C","Ua-10121","Needles_of_Pinus","NA","NA"
"1800","1780","4790","70",NA,"5704","5336","1790","20","14C","Ua-10122","Needles_of_Pinus","NA","NA"
"2010","1990","5475","85",NA,"6452","6024","2000","20","14C","Ua-10123","Needles_of_Pinus","NA","NA"
"2420","2360","6760","80",NA,"7744","7452","2390","60","14C","Ua-10124","Needles_and_needle_scales_of_Pinus_fruits_and_catkin_scales_of_Betual","NA","NA"
"2670","2630","8270","100",NA,"9433","8985","2650","40","14C","Ua-10400","Fruits_and_catkin_scales_of_Betula_and_leaves_of_Salix","NA","NA"
"2800","2780","8880","230",NA,"10351","9413","2790","20","14C","Ua-10125","Leaves_of_Dryas_fruits_and_catkin_scales_of_Betula","NA","NA"
