"50","65","850","85","450","57.5","15","14C","AA-29198","foraminifera"
"1592.5","1605","4270","70","3870","1598.75","12.5","14C","AA-27765","mollusc"
"2792.5","2805","5645","70","5245","2798.75","12.5","14C","AA-27766","mollusc"
"2945","2945","7540","40","7140","2945","0","14C","CAMS-44872","mollusc"
