"0","10","5","1.5","1230","35","0","770","5","10","14C","MD99-2227_PC","LLNL-97743","N._pachyderma_l.","web_GEOTOP"
"500","510","505","3.8","2625","35","0","2311","505","10","14C","MD99-2227_PC","LLNL-88290","N._pachyderma_l.","web_GEOTOP"
"1000","1010","1005","1.9","3690","60","0","3604","1005","10","14C","MD99-2227_PC","LLNL-97744","N._pachyderma_l.","web_GEOTOP"
"1500","1510","1505","3.5","4565","35","0","4785","1505","10","14C","MD99-2227_PC","LLNL-88291","N._pachyderma_l.","web_GEOTOP"
"2000","2010","2005","1.9","5640","40","0","6043","2005","10","14C","MD99-2227_PC","LLNL-97745","N._pachyderma_l.","web_GEOTOP"
"2500","2510","2505","4.8","6835","35","0","7357","2505","10","14C","MD99-2227_PC","LLNL-88292","N._pachyderma_l.","web_GEOTOP"
"2800","2810","2805","2.4","7570","45","0","8029","2805","10","14C","MD99-2227_PC","LLNL-110897","Npl","web_GEOTOP"
"3000","3010","3005","2","7890","50","0","8356","3005","10","14C","MD99-2227_PC","LLNL-110898","Npl","web_GEOTOP"
"3280","3290","3285","2.6","8270","50","0","8819","3285","10","14C","MD99-2227_PC","LLNL-110899","Npl","web_GEOTOP"
"3400","3410","3405","3.3","8370","70","0","8954","3405","10","14C","MD99-2227_PC","LLNL-110900","Npl","web_GEOTOP"
"3500","3510","3505","5.8","8300","35","0","8870","3505","10","14C","MD99-2227_PC","LLNL-88293","N._pachyderma_l.","web_GEOTOP"
"3800","3810","3805","2.5","8590","60","0","9247","3805","10","14C","MD99-2227_PC","LLNL-110901","Npl","web_GEOTOP"
"4500","4510","4505","1.6","9490","80","0","10347","4505","10","14C","MD99-2227_PC","LLNL-90792","N._pachyderma_l.","web_GEOTOP"
"5500","5510","5505","1.4","12510","90","0","13957","5505","10","14C","MD99-2227_PC","LLNL-97746","N._pachyderma_l.","web_GEOTOP"
"6000","6010","6005","2.6","15750","80","0","18612","6005","10","14C","MD99-2227_PC","LLNL-97747","N._pachyderma_l.","web_GEOTOP"
