"0","0",NA,NA,"0","0","0","0","surface","NA","NA","NA","surface_age_based_on_data"
"210","220","1235","40","1070","1265","215","10","14C_bulk","Ua-24800","bulk_sediments","NA","NA"
"290","300","2875","60","2860","3205","295","10","14C","Ua-24634","betula_seed","x","rejected"
"700","710","2160","40","2042","2310","705","10","14C_bulk","Ua-24801","bulk_sediments","NA","NA"
"1090","1100","2740","40","2760","2925","1095","10","14C_bulk","Ua-24802","bulk_sediments","NA","NA"
"1410","1420","3625","40","4150","4410","1415","10","14C_bulk","Ua-24803","bulk_sediments","NA","NA"
"2130","2140","5460","75","6020","6405","2135","10","14C_bulk","Ua-24635","bulk_sediments","NA","NA"
"2850","2860","7525","55","8200","8410","2855","10","14C_bulk","Ua-24636","bulk_sediments","NA","NA"
"3450","3460","5425","70","6000","6320","3455","10","14C","Ua-24637","pinus_bark","x","rejected"
"3500","3510","8505","65","9330","9559","3505","10","14C_bulk","Ua-24804","bulk_sediments","NA","NA"
"4320","4330","9420","65","10440","11060","4325","10","14C_bulk","Ua-24638","bulk_sediments","NA","NA"
"5040","5050","9285","90","10255","10670","5045","10","14C","Ua-24639","bulk_sediments","x","rejected"
